Talhao;Parcela;Num_Arvore;Especie;DAP_cm;Altura_m;Volume_m3;Coord_X;Coord_Y;Idade_anos;DensidadeMadeira_t_m3
T01;P01;1;Mata nativa - grupo misto;25.7;10.4;0.2266;500094.0;7640085.71;7;0.57
T01;P02;2;Eucalyptus grandis;27.9;21.5;0.5521;500192.75;7640063.91;7;0.51
T01;P03;3;Eucalyptus urophylla;20.7;10.5;0.1484;500084.98;7640130.86;7;0.54
T01;P01;4;Corymbia citriodora;11.6;13.4;0.0595;500153.98;7640137.19;7;0.62
T01;P02;5;Mata nativa - grupo misto;16.1;20.0;0.171;500179.51;7640051.04;7;0.57
T01;P03;6;Eucalyptus grandis;29.5;21.9;0.6287;500104.44;7640074.88;7;0.51
T01;P01;7;Eucalyptus urophylla;33.0;15.7;0.564;500064.84;7640065.47;7;0.54
T01;P02;8;Corymbia citriodora;30.5;20.3;0.6229;500179.14;7640166.76;7;0.62
T01;P03;9;Mata nativa - grupo misto;23.3;26.5;0.4746;500110.57;7640138.33;7;0.57
T01;P01;10;Eucalyptus grandis;30.1;20.5;0.6127;500187.87;7640142.38;7;0.51
T01;P02;11;Eucalyptus urophylla;27.2;10.8;0.2636;500086.46;7640096.3;7;0.54
T01;P03;12;Corymbia citriodora;12.8;14.0;0.0757;500066.16;7640094.48;7;0.62
T01;P01;13;Mata nativa - grupo misto;25.6;16.2;0.3502;500109.23;7640083.52;7;0.57
T01;P02;14;Eucalyptus grandis;17.1;25.9;0.2498;500153.69;7640147.46;7;0.51
T01;P03;15;Eucalyptus urophylla;14.9;22.4;0.164;500076.14;7640110.71;7;0.54
T01;P01;16;Corymbia citriodora;33.8;20.9;0.7876;500139.11;7640159.54;7;0.62
T01;P02;17;Mata nativa - grupo misto;30.4;23.2;0.7073;500086.65;7640055.14;7;0.57
T01;P03;18;Eucalyptus grandis;18.3;14.6;0.1613;500083.76;7640200.87;7;0.51
T02;P01;19;Mata nativa - grupo misto;31.2;15.3;0.4913;500204.87;7640163.3;8;0.57
T02;P02;20;Eucalyptus grandis;32.0;17.8;0.6013;500142.38;7640139.46;8;0.51
T02;P03;21;Eucalyptus urophylla;23.9;14.5;0.2732;500193.53;7640243.65;8;0.54
T02;P01;22;Corymbia citriodora;20.2;13.7;0.1844;500259.61;7640181.52;8;0.62
T02;P02;23;Mata nativa - grupo misto;13.1;10.8;0.0611;500117.54;7640200.39;8;0.57
T02;P03;24;Eucalyptus grandis;29.2;17.2;0.4838;500110.16;7640161.06;8;0.51
T02;P01;25;Eucalyptus urophylla;33.9;19.0;0.7203;500255.37;7640237.72;8;0.54
T02;P02;26;Corymbia citriodora;11.3;22.3;0.0939;500209.07;7640185.92;8;0.62
T02;P03;27;Mata nativa - grupo misto;17.1;20.9;0.2016;500117.85;7640169.56;8;0.57
T02;P01;28;Eucalyptus grandis;21.4;26.2;0.3958;500240.14;7640142.14;8;0.51
T02;P02;29;Eucalyptus urophylla;22.5;13.0;0.2171;500246.02;7640239.28;8;0.54
T02;P03;30;Corymbia citriodora;17.9;20.9;0.2209;500197.44;7640124.45;8;0.62
T02;P01;31;Mata nativa - grupo misto;28.5;19.2;0.5144;500224.58;7640184.86;8;0.57
T02;P02;32;Eucalyptus grandis;11.0;15.5;0.0619;500103.12;7640248.66;8;0.51
T02;P03;33;Eucalyptus urophylla;31.2;24.1;0.7739;500149.2;7640109.27;8;0.54
T02;P01;34;Corymbia citriodora;31.2;26.1;0.8381;500113.7;7640177.76;8;0.62
T02;P02;35;Mata nativa - grupo misto;12.6;22.9;0.1199;500222.53;7640120.54;8;0.57
T02;P03;36;Eucalyptus grandis;21.9;19.3;0.3053;500142.41;7640239.59;8;0.51
T03;P01;37;Mata nativa - grupo misto;22.7;13.6;0.2312;500236.29;7640266.79;9;0.57
T03;P02;38;Eucalyptus grandis;17.6;15.3;0.1563;500309.22;7640253.98;9;0.51
T03;P03;39;Eucalyptus urophylla;23.1;18.8;0.3309;500169.36;7640185.95;9;0.54
T03;P01;40;Corymbia citriodora;20.8;20.0;0.2854;500186.82;7640185.23;9;0.62
T03;P02;41;Mata nativa - grupo misto;14.6;20.7;0.1456;500186.63;7640294.87;9;0.57
T03;P03;42;Eucalyptus grandis;32.8;11.2;0.3975;500188.08;7640257.04;9;0.51
T03;P01;43;Eucalyptus urophylla;17.9;12.2;0.1289;500299.68;7640241.37;9;0.54
T03;P02;44;Corymbia citriodora;23.9;23.3;0.439;500279.2;7640180.47;9;0.62
T03;P03;45;Mata nativa - grupo misto;15.2;17.3;0.1318;500217.77;7640224.72;9;0.57
T03;P01;46;Eucalyptus grandis;29.8;21.4;0.6269;500307.47;7640165.75;9;0.51
T03;P02;47;Eucalyptus urophylla;22.3;15.8;0.2592;500287.87;7640189.79;9;0.54
T03;P03;48;Corymbia citriodora;17.4;17.6;0.1758;500217.5;7640194.57;9;0.62
T03;P01;49;Mata nativa - grupo misto;18.7;25.7;0.2965;500220.9;7640287.82;9;0.57
T03;P02;50;Eucalyptus grandis;25.7;10.9;0.2375;500309.89;7640283.76;9;0.51
T03;P03;51;Eucalyptus urophylla;35.3;25.7;1.0564;500285.79;7640176.61;9;0.54
T03;P01;52;Corymbia citriodora;24.2;13.6;0.2627;500214.17;7640159.38;9;0.62
T03;P02;53;Mata nativa - grupo misto;21.7;26.8;0.4163;500192.43;7640275.45;9;0.57
T03;P03;54;Eucalyptus grandis;23.5;17.2;0.3133;500303.17;7640309.27;9;0.51
T04;P01;55;Mata nativa - grupo misto;25.8;23.7;0.5204;500224.77;7640247.47;10;0.57
T04;P02;56;Eucalyptus grandis;35.3;21.3;0.8755;500286.75;7640319.68;10;0.51
T04;P03;57;Eucalyptus urophylla;14.3;21.4;0.1444;500280.46;7640336.44;10;0.54
T04;P01;58;Corymbia citriodora;16.6;27.8;0.2527;500212.82;7640229.73;10;0.62
T04;P02;59;Mata nativa - grupo misto;26.7;23.0;0.5409;500237.63;7640219.18;10;0.57
T04;P03;60;Eucalyptus grandis;33.5;15.7;0.5812;500295.12;7640299.1;10;0.51
T04;P01;61;Eucalyptus urophylla;22.6;21.4;0.3606;500283.65;7640349.55;10;0.54
T04;P02;62;Corymbia citriodora;17.7;23.7;0.2449;500238.19;7640263.33;10;0.62
T04;P03;63;Mata nativa - grupo misto;28.4;16.6;0.4417;500250.59;7640320.3;10;0.57
T04;P01;64;Eucalyptus grandis;14.7;19.3;0.1376;500359.75;7640359.38;10;0.51
T04;P02;65;Eucalyptus urophylla;14.7;15.1;0.1076;500242.43;7640349.32;10;0.54
T04;P03;66;Corymbia citriodora;33.3;26.4;0.9657;500259.12;7640225.24;10;0.62
